movieId,title,genres,tags
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,adventure animated animation cartoon cgi childhood children classic computer animation cute disney disney animated feature family friendship fun good great great movie heartwarming imdb top 250 kids kids and family light nostalgic original pixar pixar animation story toys unlikely friendships
62,Mr. Holland's Opus (1995),Drama,classical music drama feel good movie feel-good good music inspirational mentor music musicians rock and roll sentimental teacher touching
110,Braveheart (1995),Action|Drama|War,action amazing cinematography beautiful scenery beautifully filmed best war films betrayal big budget biographical breathtaking brutal brutality cinematography courage drama dramatic earnest england epic excellent script factual fight scenes forceful freedom good good acting great great acting great ending great movie highly quotable historical history idealism imdb top 250 inspirational inspiring intense long love story masterpiece medieval mentor oscar oscar (best cinematography) oscar (best directing) oscar (best picture) oscar winner passionate period piece powerful ending realistic rebellion revenge revolution sacrifice scenic scotland story storytelling sword fight us history vengeance violence violent visceral war
150,Apollo 13 (1995),Adventure|Drama|IMAX,astronauts based on a true story based on true story catastrophe courage drama dramatic factual good great acting historical history mars moon nasa oscar (best directing) oscar winner space space program space travel stranded tense true story
151,Rob Roy (1995),Action|Drama|Romance|War,18th century beautiful scenery historical passionate period piece scotland sword fight sword fighting
161,Crimson Tide (1995),Drama|Thriller|War,action claustrophobic cold war dramatic great acting intense military nuclear nuclear war russia submarine suspense tense thriller tom clancy war weapons
236,French Kiss (1995),Action|Comedy|Romance,chick flick france good romantic comedies love love story paris romance romantic romantic comedy
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,action adventure aliens androids awesome soundtrack classic clones cool cult desert destiny dialogue effects entertaining epic exciting fantasy fantasy world fast paced fighting franchise futuristic good good acting good action good versus evil great ending great movie high fantasy highly quotable imagination imdb top 250 masterpiece mentor mythology original original plot oscar (best directing) oscar (best effects - visual effects) oscar winner quotable rebellion redemption robots saturn award (best special effects) sci fi sci-fi science fiction scifi series space space opera space travel special effects star wars story storytelling sword fight technology trilogy very good visual visually appealing visually stunning war wizards
261,Little Women (1994),Drama,adapted from:book based on a book costume drama family bonds girlie movie literature sisters
266,Legends of the Fall (1994),Drama|Romance|War|Western,amazing cinematography beautiful scenery bittersweet breathtaking brothers cinematography drama dramatic emotional epic family bonds great acting indians love story oscar (best cinematography) tragedy war
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,bloody brutality cerebral complex complicated cool crime crime gone awry cult classic cult film dark humor dialogue dialogue driven ensemble cast entirely dialogue excellent script exceptional acting foul language gangster gangsters golden palm good acting good dialogue good soundtrack gratuitous violence great acting great dialogue great ending great movie great soundtrack guns highly quotable hit men hitman imdb top 250 intellectual interesting ironic masterpiece mindfuck mob multiple storylines narrated neo-noir non-linear nonlinear organized crime original original plot oscar (best directing) oscar (best supporting actor) oscar (best writing - screenplay written directly for the screen) plot twist quotable redemption sexualized violence storytelling stylish stylized suprisingly clever talky tarantino twist twists & turns vengeance violence violent visceral weird
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama,cinematography criterion enigmatic foreign french golden palm isolation loneliness meditative melancholic melancholy reflective relationships solitude trilogy visually appealing
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama,beautifully filmed cinematography classical music criterion death enigmatic foreign french intimate isolation life & death loneliness meditative melancholic melancholy music reflective solitude trilogy
318,"Shawshank Redemption, The (1994)",Crime|Drama,adapted from:book based on book bittersweet compassionate corruption crime destiny drama dramatic earnest emotional excellent excellent script exceptional acting feel good movie feel-good freedom friendship good good acting good soundtrack great acting great ending great movie happy ending heartwarming highly quotable imdb top 250 inspirational inspiring intellectual intense interesting justice life literature masterpiece mentor narrated original original plot oscar oscar (best actor) oscar (best directing) oscar (best picture) oscar (best supporting actor) oscar winner plot twist poignant powerful ending prison prison escape redemption sentimental social commentary story storytelling suspense talky thought-provoking touching twists & turns unlikely friendships violence
333,Tommy Boy (1995),Comedy,comedy dumb dumb but funny funniest movies funny goofy hilarious quotable road trip saturday night live stupidity very funny
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,action adapted from:book assassination based on a book based on book chase conspiracy espionage good action mentor political president secret service spying surveillance tense thriller tom clancy world politics
356,Forrest Gump (1994),Comedy|Drama|Romance|War,based on book biographical bittersweet childhood courage destiny disability drama dramatic earnest emotional excellent script feel good movie feel-good friendship good good acting good music good soundtrack great acting great ending great movie heartwarming highly quotable historical history honest imdb top 250 inspirational inspiring interesting life love love story masterpiece mentor narrated nostalgic original oscar oscar (best actor) oscar (best directing) oscar (best editing) oscar (best effects - visual effects) oscar (best music - original score) oscar (best picture) oscar (best supporting actor) oscar winner poignant quotable sappy sentimental social commentary story storytelling touching unlikely friendships us history
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,africa animals animated animation cartoon childhood children classic coming of age destiny disney disney animated feature family friendship good great heartwarming kids kids and family lions mentor oscar (best animated feature) talking animals
